;;;IFT FONGICIDE;;;;
;bassin viticole;Moyenne;05 centile;25 centile;Médiane;70 centile;95 centile
1;Alsace;9,4;4,8;7,9;9,5;10,6;13,9
2;Beaujolais;14,4;10,0;12,7;14,4;15,5;19,2
3;Bordelais;12,7;7,2;10,2;12,6;14,3;18,7
4;Bourgogne;14,3;8,3;12,5;14,6;16,0;19,3
5;Champagne;16,2;10,8;14,0;16,3;18,0;21,4
6;Charentes;12,6;8,2;10,9;12,7;14,0;17,1
7;Languedoc-Roussillon hors 66;9,4;4,4;7,3;9,3;10,8;14,1
8;Pyrénées-Orientales;6,4;2,9;4,8;5,8;7,2;10,8
9;PACA 83-84;8,3;3,7;6,2;8,1;9,6;13,7
10;Val de Loire;9,5;4,9;7,6;9,4;10,9;14,4
11;Bouches-du-Rhône;8,2;3,4;6,6;8,1;9,6;13,4
12;Dordogne;10,3;4,8;8,4;10,4;11,8;15,8
13;Midi-Pyrénées;13,7;6,1;10,6;13,8;16,5;21,3
;Ensemble;10,9;4,8;8,0;10,6;12,8;17,8
