;;;IFT TOTAL;;;;
;bassin viticole;Moyenne;05 centile;25 centile;Médiane;70 centile;95 centile
1;Alsace;10,7;5,4;8,8;10,8;12,2;15,4
2;Beaujolais;16,8;11,5;14,4;16,7;18,6;23,0
3;Bordelais;15,0;9,0;12,2;15,0;16,7;21,5
4;Bourgogne;15,6;8,6;13,5;15,7;17,6;21,9
5;Champagne;18,3;12,3;15,6;18,1;20,5;24,8
6;Charentes;16,0;10,1;13,8;16,1;17,7;21,4
7;Languedoc-Roussillon hors 66;12,0;5,7;9,3;12,0;13,8;18,0
8;Pyrénées-Orientales;9,3;4,1;6,9;8,6;10,7;15,9
9;PACA 83-84;9,1;3,9;6,8;8,9;10,5;15,1
10;Val de Loire;11,9;5,9;9,8;11,9;13,5;17,8
11;Bouches-du-Rhône;8,9;3,6;7,0;8,6;10,1;15,1
12;Dordogne;12,8;6,1;10,3;13,3;15,1;18,5
13;Midi-Pyrénées;16,5;8,0;13,5;16,8;19,2;24,4
;Ensemble;13,2;5,8;10,0;13,0;15,5;21,0
